total_wt,dage,snonewp
3837.79,26,2
5847.86,58,4
1830.13,29,12
1492.02,22,1
1601.17,18,2
3244.86,16,9
5996.07,36,14
3281.01,62,4
2415.56,28,50
4133.21,20,4
4133.21,20,3
2892.5,26,5
1601.17,17,3
2569.86,30,23
2903.04,60,2
1305.02,21,20
1503.1,17,2
5452.47,69,2
1996.79,18,2
2569.31,22,2
3773.07,46,2
5833.09,45,10
5752.07,45,2
1566.66,33,2
1493.01,18,2
15557.6,42,9
2821.67,42,3
6900.97,59,5
6139.83,56,5
2773.73,62,1
4910.52,48,3
7737.11,35,1
2007.77,29,2
9843.02,60,5
1492.02,21,2
2817.7,20,1
4177.56,25,4
2737.38,36,3
3917.15,57,4
2726.58,32,8
3596.6,47,4
4212.17,46,20
5288.54,35,1
2902.34,33,5
4698.77,32,20
4057.15,44,1
2947.1,72,5
1756.59,19,1
1825.97,31,6
1953.17,21,2
4847.11,26,2
3509.13,37,100
1743.37,25,1
2071.31,24,3
3105.91,30,1
2048.48,20,3
3401.77,26,4
2066.69,34,1
5600.48,47,10
5804.68,31,4
3917.15,59,5
3701.48,21,1
3745.5,28,5
1550.49,24,1
4727.64,68,3
1832.98,30,1
3185.19,46,4
2874.63,34,4
1359.54,27,2
1637.92,17,4