week,gbmsm,nongbmsm,na_gbmsm,prop,gbmsm.,nongbmsm.
29/04/2022,0,0,0,0,0,0
06/05/2022,0,0,0,0,0,0
13/05/2022,17,0,0,1,17,0
20/05/2022,83.20105791,2.798942089,10,0.986842105,75,1
27/05/2022,113.4004595,4.599540501,24,0.978723404,92,2
03/06/2022,130.2387116,9.761288392,26,0.956140351,109,5
10/06/2022,198.4980153,16.50198472,48,0.958083832,160,7
17/06/2022,294.8264016,13.17359839,147,0.98757764,159,2
24/06/2022,294.1533569,16.84664308,186,0.968,121,4
01/07/2022,293.2862817,16.71371826,215,0.968421053,92,3
08/07/2022,282.6305036,16.36949642,196,0.941747573,97,6
15/07/2022,326.8113055,22.18869445,225,0.943548387,117,7
22/07/2022,296.3127704,19.68722962,224,0.934782609,86,6
29/07/2022,271.1323004,25.86769963,211,0.918604651,79,7
05/08/2022,191.8063931,22.1936069,154,0.866666667,52,8
12/08/2022,151.0530733,18.94692671,112,0.896551724,52,6
19/08/2022,86.42589511,10.57410489,78,0.947368421,18,1
26/08/2022,63.50947488,20.49052512,62,0.772727273,17,5