Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12 wk reversion + no vacs),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4 wk reversion + no vacs)
2022-05-02,NA,57.434,13.0,117.0,57.744,13.0,117.0,57.4855,13.0,116.0,57.4245,13.0,117.0,57.527,13.0,119.09999999999991
2022-05-09,NA,91.005,24.900000000000006,173.0,91.8465,24.0,179.0999999999999,91.3245,25.0,174.0,91.386,24.0,177.0,91.2465,24.0,174.19999999999982
2022-05-16,64.962112069,127.4475,45.0,225.0,128.3215,45.0,231.0,128.2695,44.0,228.0999999999999,128.0855,44.900000000000006,234.0999999999999,128.3185,43.0,227.0
2022-05-23,131.977025863,137.903,54.900000000000006,235.0,139.213,58.0,236.0999999999999,139.6965,55.0,237.0,139.47,58.0,239.0,139.4465,56.0,242.0999999999999
2022-05-30,124.25361287999999,141.063,56.0,243.0,141.9625,56.0,243.0,142.2305,56.0,249.0,142.5635,56.0,245.0,142.2175,56.900000000000006,247.0999999999999
2022-06-06,182.831719945,156.2865,56.0,276.0999999999999,157.558,55.900000000000006,278.0999999999999,158.599,59.0,280.0999999999999,158.1945,58.0,277.0,157.5515,58.0,285.0999999999999
2022-06-13,311.406767702,193.6085,68.0,335.0,195.567,63.900000000000006,348.0,195.9105,63.0,348.0999999999999,193.984,65.0,343.0,193.847,65.0,354.0999999999999
2022-06-20,342.190279775,241.6225,80.0,424.0,242.4645,74.9,427.0,243.1755,79.0,426.0999999999999,242.5905,77.0,433.0,242.4445,77.0,431.2999999999997
2022-06-27,251.110710262,288.5205,97.9,499.1999999999998,290.2445,93.9,491.0,291.0975,101.0,482.0,289.8185,96.0,489.1999999999998,288.5445,93.0,493.0999999999999
2022-07-04,404.26234502934966,327.392,118.9,523.0999999999999,328.3045,113.0,535.0999999999999,330.5315,124.80000000000001,517.0999999999999,329.6655,116.0,525.0,327.4575,117.0,537.0
2022-07-11,406.09991503599997,339.329,133.0,532.0999999999999,339.819,124.0,523.0,344.722,139.9,533.1999999999998,343.313,129.9,540.0,340.291,131.0,539.0
2022-07-18,380.38722051499997,318.0665,131.0,478.0999999999999,318.7385,122.9,486.0,322.543,136.9,489.0999999999999,322.436,136.0,500.0,318.8465,131.0,499.0
2022-07-25,356.355152232,278.8325,120.0,415.0,279.8865,116.9,420.0999999999999,282.775,127.0,418.0999999999999,282.483,127.0,428.0999999999999,278.1725,118.0,422.0999999999999
2022-08-01,256.780315618,245.7505,110.0,366.0,247.4255,108.0,372.0,250.3765,113.0,371.0999999999999,248.943,113.9,375.0,246.21,111.0,370.0999999999999
2022-08-08,191.75773644000003,216.1175,99.0,325.0,216.5385,102.9,331.0,221.39,102.0,327.0,217.5975,101.0,333.0,217.2815,101.0,327.0
2022-08-15,191.25299342800002,153.9225,72.0,234.0,154.38,71.0,239.0999999999999,162.397,76.9,243.0,153.859,72.0,235.0,158.777,75.0,242.0999999999999
2022-08-22,85.07194010674402,113.4785,50.0,182.0,113.6365,50.0,182.0,127.334,57.900000000000006,199.0999999999999,112.9515,51.0,179.0,125.2705,57.0,196.0
2022-08-29,75.91092947301222,85.7685,35.0,141.0,85.7315,36.0,142.0,106.6415,46.0,171.0,85.422,36.0,142.0,105.2405,44.0,171.0
2022-09-05,72.29968191568899,62.543,24.900000000000006,107.0,62.943,24.0,107.0,90.3915,36.0,151.0,62.3965,24.0,108.0,88.712,34.0,149.0
2022-09-12,48.92801489053746,45.0135,15.0,80.09999999999991,45.3755,16.0,79.0,77.387,29.0,135.0,44.6365,15.0,80.09999999999991,76.151,27.0,132.0
2022-09-19,39.80045596,33.03,10.0,60.0,33.787,10.0,62.0,67.715,22.0,123.0,34.931,10.0,63.09999999999991,70.1415,22.0,128.0
2022-09-26,9.650524700953467,24.7175,6.0,48.0,26.1995,6.0,50.0,61.626,18.0,118.0,36.197,9.0,70.0,85.5025,22.900000000000006,162.0
2022-10-03,NA,18.3355,4.0,37.0,20.8045,4.0,42.0,58.0155,14.0,112.09999999999991,47.0625,8.0,99.0,130.284,26.0,265.0
2022-10-10,NA,14.009,2.0,29.0,18.2395,3.0,40.0,58.173,12.0,119.0,55.015,7.0,120.09999999999991,179.3825,26.0,383.0999999999999
2022-10-17,NA,10.465,1.0,23.0,17.397,2.0,39.0,64.8245,10.900000000000006,138.0999999999999,60.077,5.0,139.0,231.118,22.0,537.0999999999999
2022-10-24,NA,8.2295,1.0,18.0,18.109,1.0,43.0,78.0385,10.0,173.0999999999999,65.868,4.0,157.0999999999999,278.748,19.0,665.1999999999998
2022-10-31,NA,6.26,0.0,15.0,20.1895,1.0,49.0,99.686,9.0,228.0999999999999,70.5475,3.0,174.0999999999999,314.404,16.0,763.1999999999998
2022-11-07,NA,4.878,0.0,12.0,22.8695,1.0,58.0,128.6995,8.0,302.1999999999998,74.374,2.0,183.0,336.9045,12.0,830.0
2022-11-14,NA,3.82,0.0,10.0,25.799,0.0,66.0,161.126,7.0,390.0,75.815,1.0,189.0,347.849,10.0,858.0999999999999
2022-11-21,NA,3.035,0.0,8.0,29.2095,0.0,76.09999999999991,193.3815,6.0,476.49999999999955,76.6745,1.0,196.0999999999999,350.2955,7.0,896.0999999999999
2022-11-28,NA,2.3695,0.0,7.0,31.979,0.0,86.0,219.9445,5.0,554.3999999999996,75.6505,0.0,195.0999999999999,352.1355,6.0,892.0
2022-12-05,NA,1.8745,0.0,5.0,34.634,0.0,93.0,239.82,4.0,625.1999999999998,72.793,0.0,192.19999999999982,350.119,4.0,915.0999999999999
2022-12-12,NA,1.463,0.0,4.0,36.9445,0.0,101.0,254.439,3.0,659.0999999999999,69.8585,0.0,184.0999999999999,345.926,3.0,924.0
2022-12-19,NA,1.195,0.0,4.0,37.738,0.0,101.0,263.0855,2.0,692.0999999999999,66.6135,0.0,181.0999999999999,338.4345,2.0,909.0
2022-12-26,NA,0.955,0.0,3.0,38.073,0.0,106.0,269.8055,2.0,721.0999999999999,62.8405,0.0,171.0,326.7415,1.0,895.1999999999998
2023-01-02,NA,0.7895,0.0,3.0,37.5325,0.0,105.0,275.519,1.0,721.1999999999998,59.0855,0.0,165.0,308.8195,1.0,850.0999999999999
2023-01-09,NA,0.5885,0.0,2.0,36.725,0.0,103.0,279.116,1.0,741.4999999999995,56.1535,0.0,154.0,287.53,1.0,801.0999999999999
2023-01-16,NA,0.4595,0.0,2.0,35.436,0.0,100.09999999999991,279.391,1.0,763.1999999999998,52.767,0.0,145.0999999999999,264.55,0.0,748.0999999999999
2023-01-23,NA,0.3915,0.0,1.0,34.4295,0.0,97.0,275.978,0.0,763.0,49.9335,0.0,141.0,239.9385,0.0,679.0
2023-01-30,NA,0.3195,0.0,1.0,33.353,0.0,95.0,268.305,0.0,747.0,47.149,0.0,132.0999999999999,216.168,0.0,622.2999999999997
2023-02-06,NA,0.2385,0.0,1.0,32.218,0.0,92.09999999999991,257.9615,0.0,726.0999999999999,44.8885,0.0,124.0,193.2395,0.0,566.0999999999999
2023-02-13,NA,0.1895,0.0,0.0,31.2055,0.0,89.09999999999991,243.084,0.0,697.3999999999996,42.1595,0.0,117.09999999999991,172.088,0.0,510.49999999999955
2023-02-20,NA,0.168,0.0,0.0,30.0745,0.0,86.0,226.4755,0.0,650.0,40.099,0.0,115.09999999999991,151.4845,0.0,448.39999999999964
2023-02-27,NA,0.121,0.0,0.0,29.2895,0.0,85.0,208.4115,0.0,608.0,37.6855,0.0,107.0,134.0185,0.0,391.39999999999964
2023-03-06,NA,0.0965,0.0,0.0,28.2415,0.0,83.0,190.5105,0.0,555.0999999999999,35.1785,0.0,97.0,117.3415,0.0,343.1999999999998
2023-03-13,NA,0.086,0.0,0.0,27.091,0.0,80.09999999999991,172.4355,0.0,508.0,33.3325,0.0,94.19999999999982,102.5515,0.0,299.1999999999998
2023-03-20,NA,0.0935,0.0,0.0,26.3745,0.0,80.0,155.417,0.0,466.0999999999999,31.1355,0.0,92.09999999999991,89.013,0.0,256.0999999999999
2023-03-27,NA,0.0725,0.0,0.0,25.6515,0.0,80.0,139.987,0.0,407.1999999999998,29.014,0.0,84.09999999999991,77.3915,0.0,218.0999999999999
