Date,Projected Cum. non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-03,307.6458794977142,304.5438794977142,311.5438794977142,308.0128794977142,304.5438794977142,312.5438794977142,309.9363794977142,305.5438794977142,316.5438794977142,311.9748794977142,305.5438794977142,319.6438794977141,316.0733794977142,306.5438794977142,327.5438794977142
2022-10-10,310.0728794977142,304.5438794977142,317.5438794977142,311.0628794977142,305.5438794977142,319.5438794977142,315.0903794977142,306.5438794977142,327.5438794977142,320.37937949771424,307.5438794977142,336.5438794977142,331.65587949771424,310.5438794977142,358.6438794977141
2022-10-17,311.8043794977142,304.5438794977142,321.5438794977142,313.8298794977142,305.5438794977142,325.5438794977142,320.5643794977142,307.5438794977142,338.5438794977142,329.3478794977142,308.5438794977142,355.5438794977142,352.05237949771424,314.5438794977142,400.6438794977141
2022-10-24,313.1418794977142,304.5438794977142,324.5438794977142,316.61487949771424,306.5438794977142,331.5438794977142,326.9728794977142,308.5438794977142,350.5438794977142,339.1063794977142,310.5438794977142,375.6438794977141,378.7043794977142,320.5438794977142,460.6438794977141
2022-10-31,314.18937949771424,305.5438794977142,326.5438794977142,319.5713794977142,306.5438794977142,337.5438794977142,335.0753794977142,310.5438794977142,368.5438794977142,349.7613794977142,312.5438794977142,399.5438794977142,413.0078794977142,325.5438794977142,539.5438794977142
2022-11-07,314.9963794977142,305.5438794977142,328.5438794977142,322.7558794977142,307.5438794977142,344.5438794977142,345.6398794977142,312.5438794977142,389.5438794977142,361.47837949771423,313.5438794977142,426.5438794977142,455.4183794977142,331.5438794977142,629.743879497714
2022-11-14,315.6073794977142,305.5438794977142,330.5438794977142,326.3043794977142,307.5438794977142,351.5438794977142,359.3788794977142,315.5438794977142,420.5438794977142,373.89637949771424,314.5438794977142,456.5438794977142,504.52837949771424,336.44387949771425,741.8438794977139
2022-11-21,316.05987949771423,305.5438794977142,331.5438794977142,330.1213794977142,307.5438794977142,361.5438794977142,377.6138794977142,317.5438794977142,463.5438794977142,387.1623794977142,315.5438794977142,486.5438794977142,559.7508794977142,341.5438794977142,879.0438794977138
2022-11-28,316.4388794977142,305.5438794977142,332.5438794977142,334.5243794977142,308.5438794977142,371.5438794977142,400.77637949771423,319.5438794977142,521.5438794977142,401.1363794977142,316.5438794977142,520.6438794977141,619.2033794977142,343.5438794977142,1031.6438794977141
2022-12-05,316.7338794977142,305.5438794977142,333.5438794977142,339.4313794977142,308.5438794977142,381.5438794977142,429.3823794977142,321.5438794977142,592.5438794977142,415.5538794977142,317.5438794977142,559.5438794977142,682.6578794977142,347.5438794977143,1188.6438794977141
2022-12-12,316.95637949771424,305.5438794977142,333.6438794977141,344.9653794977142,308.5438794977142,394.5438794977142,463.16337949771423,324.44387949771425,676.743879497714,430.0533794977142,318.5438794977142,595.6438794977141,748.1278794977143,349.5438794977143,1352.743879497714
2022-12-19,317.1373794977142,305.5438794977142,334.5438794977142,350.9723794977142,308.5438794977142,407.5438794977142,501.3333794977142,325.5438794977142,774.8438794977139,444.6638794977142,318.5438794977142,634.5438794977142,814.5318794977143,352.5438794977143,1511.6438794977141
2022-12-26,317.27137949771424,305.5438794977142,334.5438794977142,357.5953794977142,309.4438794977142,424.6438794977141,543.6948794977143,326.5438794977143,881.743879497714,458.9923794977142,318.5438794977142,676.9438794977139,881.6963794977142,355.5438794977142,1689.0438794977138
2023-01-02,317.4003794977142,305.5438794977142,334.5438794977142,364.6013794977142,309.5438794977142,442.5438794977142,589.3268794977142,327.5438794977142,995.9438794977139,473.1443794977142,319.4438794977142,711.5438794977142,948.7498794977142,356.5438794977142,1870.843879497714
2023-01-09,317.47587949771423,305.5438794977142,335.5438794977142,371.7578794977142,309.5438794977142,462.5438794977142,637.3823794977143,329.4438794977143,1117.743879497714,486.77837949771424,319.5438794977142,743.5438794977142,1014.8038794977142,358.4438794977142,2047.6438794977141
2023-01-16,317.5513794977142,305.5438794977142,335.5438794977142,379.1108794977142,309.5438794977142,479.6438794977141,687.4608794977141,329.54387949771416,1247.9438794977139,499.82137949771425,319.5438794977142,775.5438794977142,1078.5303794977142,358.5438794977142,2228.7438794977143
2023-01-23,317.6108794977142,305.5438794977142,335.5438794977142,386.5178794977142,309.5438794977142,498.6438794977141,739.6968794977142,330.5438794977142,1400.5438794977142,512.3233794977142,319.5438794977142,805.5438794977142,1139.4873794977143,359.54387949771433,2393.5438794977144
2023-01-30,317.6563794977142,305.5438794977142,335.5438794977142,393.8763794977142,309.5438794977142,517.6438794977141,792.9018794977142,331.54387949771416,1545.743879497714,524.3108794977143,320.4438794977143,839.6438794977141,1197.2558794977142,360.4438794977142,2565.643879497714
2023-02-06,317.6953794977142,305.5438794977142,335.5438794977142,401.2083794977142,309.5438794977142,539.6438794977141,846.3538794977142,332.5438794977142,1679.6438794977141,535.6998794977142,320.54387949771416,869.5438794977142,1250.961879497714,361.5438794977141,2690.643879497714
2023-02-13,317.72537949771424,305.5438794977142,335.5438794977142,408.3348794977142,309.5438794977142,559.5438794977142,900.4113794977142,332.5438794977142,1825.0438794977138,546.6453794977142,320.5438794977142,891.6438794977141,1300.4538794977143,361.54387949771433,2828.6438794977134
2023-02-20,317.7563794977142,305.5438794977142,335.5438794977142,415.3753794977142,309.5438794977142,577.5438794977142,953.4423794977142,332.5438794977142,1965.3438794977135,557.0818794977142,320.5438794977142,919.1438794977137,1345.7523794977142,362.4438794977142,2944.7438794977143
2023-02-27,317.7773794977142,305.5438794977142,335.5438794977142,422.2758794977142,309.5438794977142,594.6438794977141,1004.4713794977142,333.5438794977142,2118.7438794977143,567.1033794977143,320.5438794977143,944.6438794977141,1387.2003794977143,362.4438794977143,3073.8438794977137
2023-03-06,317.7963794977142,305.5438794977142,335.5438794977142,429.05287949771423,309.5438794977142,613.743879497714,1053.3718794977142,333.5438794977142,2252.0438794977135,576.5533794977142,320.5438794977142,968.743879497714,1424.4848794977142,362.5438794977142,3150.643879497714
2023-03-13,317.80987949771423,305.5438794977142,335.5438794977142,435.5388794977142,309.5438794977142,634.6438794977141,1099.2588794977141,333.5438794977141,2394.643879497714,585.4718794977142,320.5438794977142,998.743879497714,1457.9073794977141,362.5438794977142,3257.8438794977137
2023-03-20,317.82687949771423,305.5438794977142,336.5438794977142,441.8813794977142,309.5438794977142,648.9438794977139,1142.3748794977141,333.5438794977141,2540.643879497714,593.9513794977142,320.5438794977142,1018.743879497714,1487.6893794977143,362.5438794977142,3343.7438794977143
2023-03-27,317.83887949771423,305.5438794977142,336.5438794977142,448.0258794977142,309.5438794977142,665.743879497714,1182.4378794977142,333.5438794977142,2645.943879497714,601.7443794977141,320.54387949771416,1042.6438794977141,1513.8453794977142,363.5438794977142,3407.2438794977134
